IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,South Winnipeg Recreation Campus: Library & Site Development,"The proposed project would see the development of a phased multi-use and multi-generational recreation campus in Waverley West that includes a regional aquatic/recreation facility with lap tank, leisure pool, fitness space, walking/running track, multiple gymnasiums, multi-purpose spaces, a community library and adjacent park space including athletic fields and a community spray pad.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Waverley West B,Waverley West,POINT (-97.185917 49.797722),0,0,2031,Growth-supportive infrastructure,,N,5,,,,,,,
2024,Water Main Renewals,"This is a continuing program to replace and/or rehabilitate deteriorating water main infrastructure. Funding is used for water main replacement, cathodic protection, valve and hydrant replacement/rehabilitation, correction of dead end mains, upgrading of substandard mains, water system studies, assessments, development of design standards and replacement of problem water services within the City right-of-way, and hydraulic improvements for fire protection purposes. Funding is also used for integrated right-of-way renewal programs coordinated with the Public Works Department.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,21000000,0,2025,,,N,12,,,,,,,
2023,Parks and Recreation Enhancement Program,text,Public Works,Parks - Local,Program,12407000,1,,Good Health & Well-Being,Renew,,,,1305000,0,2027,,,,,,,,,,,
2023,Louise Bridge Replacement,text,Public Works,Bridges - Regional,Project,160699000,0,5,City Building,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),0,4681000,2024,,,,,,,,,,,
2023,Station Capital Maintenance,text,Fire Paramedic Service,Fire & Medical Response,Program,43195000,0,,Economic Prosperity,Operations & Maintenance,,,,0,4472000,2025,,,,,,,,,,,
2024,Fort Rouge - McFadyen Pedestrian Crossing,The proposed project involves construction of a new pedestrian and cycling bridge over the Assiniboine River and major refurbishment of McFadyen Park and Fort Rouge Park on either side of the bridge.,Public Works,Active Transportation,Project,40237000,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Broadway-Assiniboine,Fort Rouge - East Fort Garry,POINT (-97.14168066 49.88396265),0,4691000,2024,,,Y,2,,,,,,,
2024,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),This project includes major rehabilitation of the Lagimodiere Twin Overpasses over Concordia Avenue and the Canadian Pacific Railway (CPR) Keewatin rail lines. Improvements to traffic capacity and roadside safety will be determined as part of a preliminary design study.,Public Works,Bridges - Regional,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),0,0,2030,,,N,5,,,,,,,
2023,Water and Waste Department Business Intelligence,text,Water and Waste,Wastewater,Program,8440000,1,,City Building,Upgrade,,,,980000,0,2026,,,,,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2032,,,N,19,,,,,,,
2023,Sidewalk Renewals on Local Streets - Various locations,text,Public Works,Active Transportation,Program,28650000,0,,Good Health & Well-Being,Renew,,,,0,2865000,2032,,,,,,,,,,,
2024,Station Capital Maintenance,"These capital funds support an ongoing program of repair and structural maintenance to ensure station asset lives are maximized, thereby ensuring the service has an operable station network from which emergency response vehicles can be deployed across the whole city to meet required response times.",Fire Paramedic Service,Fire & Rescue Response,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Operations & Maintenance,,,,1002000,1688000,2033,,,N,1,,,,,,,
2024,Waterway Crossing and Grade Separations - Annual Program,"Annual program to carry out preventative maintenance, major repairs, improvements or replacement to existing bridges, overpasses, underpasses, culverts and related bridge infrastructure, ensuring continued and continuous services of these facilities to the maximum practical extent.",Public Works,Bridges - Regional,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,3290000,0,2027,,,Y,1,,,,,,,
2024,Abinojii Mikanah Greenway - pedestrian overpass of Pembina Hwy,The proposed project involves the construction of a walk-bike bridge over Pembina Highway. The bridge will provide safe and uninterrupted east-west connectivity of the Abinojii Mikanah Greenway system and will offer midpoint connectivity for pedestrian and cycling traffic.,Public Works,Active Transportation,Project,0,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Agassiz,Waverley West,POINT (-97.15246418 49.81940777),0,0,2029,,,Y,3,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),1100000,55000,2025,,,Y,6,,,,,,,
2023,Electric Vehicles and Infrastructure,text,Fleet Management Services,Multiple Organizational Support Services,Program,20000000,0,,Economic Prosperity,Operations & Maintenance,,,,0,2000000,2023,,,,,,,,,,,
2024,Primary Transit Network Infrastructure,"This program will support the Winnipeg Transit Master Plan complete redesign of the transit network city-wide. In the proposed new transit network, several new routes will require dedicated bus loops, stations, mobility hubs, comfort stations for bus operators, and new traffic signals where buses/ riders will be turning onto or crossing major arterial streets. This project also includes public engagement, communications, and marketing to ensure Winnipeg Transit customers and the broader public are aware and can provide input on the proposed changes and their impacts. This project also funds installation and removal of bus stop signs and other similar elements required to transition the city-wide transit network.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,4,,,,,,,
2024,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,"Capital Program to fund investments ensuring health/life safety requirements and the highest-and-best use investments associated with preserving continued facility operations that arise annually. Specifically, this program encompasses planned or emergency refurbishment, replacement, repair and maintenance upgrade projects for fire and life safety (e.g., emergency lighting), heating, ventilation, air conditioning, electrical, plumbing, building envelope, structural requirements, emergency power generation, and uninterrupted power systems. Funding is also allocated for critical systems including building automation and climate control, security, access control, and CCTV systems. This program also ensures adherence to regulatory compliance upgrades, asbestos and other hazardous material remediation, and asset condition assessments. Finally, this program addresses physical accessibility issues such as lighting, signage, and public entranceways.",Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,1557000,64843000,2033,,,N,3,,,,,,,
2024,Building Systems Repairs and Refurbishment Program at Pan Am Pool,"Facility improvement project to address end-of-life building systems/components, functional limitations, and code compliance in order to maintain current levels of service. Program scope includes short, medium and long-term structural repairs, repair or replacement of air handling units, installation of a central chiller cooling system, replacement of all exhaust fans, hot water tanks, heat exchanger, showers, the PA system to a zone-controllable model and dive tower replacement (added for 2024 budget year).",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.17389347 49.85505337),0,0,2030,,,N,8,,,,,,,
2023,Water Main Renewals,text,Water and Waste,Water,Program,220500000,1,,Environmental Resilience,Renew,,,,25000000,0,2031,,,,,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,368500000,1,,Environmental Resilience,Upgrade,,,,31000000,0,2029,,,,,,,,,,,
2023,Urban Forest Renewal Program,text,Public Works,Urban Forests,Program,120481000,1,,Environmental Resilience,Operations & Maintenance,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.095599 49.901885),6836000,5039000,2024,,,,,,,,,,,
2024,Wading Pool & Spray Pad Capital Renewal Program,"The wading pool and spray pad capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to wading pools and spray pads owned and operated by the City of Winnipeg. Projects may include deck and basin repairs, replacement of liners, renewal of play components and amenities, improvements to water circulation and filtration systems, mechanical, and electrical systems, accessibility improvements, and improvements to associated support buildings and site amenities including washrooms, change rooms, seating areas, secure bike, and parking areas.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,6506000,2032,,,N,18,,,,,,,
2024,Ness at Truro Creek Culvert,The Ness Avenue Culvert at Truro Creek is undersized and is in a deteriorated condition.  Replacement will be required in 2028.  Preliminary design was completed in 2017. Funding of $700k in 2027 for detailed design and contract administration services and funding of $3.3M in 2028 for construction is required.  The new structure will provide an additional 75 years of service life.,Public Works,Bridges - Regional,Project,0,1,3,A City that Works for Residents through Improved Customer Service,Renew,Deer Lodge,St. James,POINT (-97.2269324998788 49.8844745818629),5658000,0,2028,,,N,3,,,,,,,
2024,Parks Buildings,"This program will fund Parks Maintenance Garage at Reykdal Family Park, Grant's Old Mill Restoration and Public Washrooms Renewal, Prairie Point Garage, Living Prairie Museum Interpretive Centre and various demolition of park buildings and structures as necessary.",Public Works,Parks - Local,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,1000000,2000000,2030,,,Y,3,,,,,,,
2024,Insect Control Branch Building and Yards - 3 Grey Street,"The proposed project involves the relocation of the Insect Control Building, Yards and Heliport at 3 Grey Street to city-owned lands adjacent to the South End Water Pollution Control Centre.",Public Works,Insect Control,Project,0,0,3,"A Livable, Safe, Healthy, Happy City",Upgrade,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.09573193 49.902051),0,0,2033,,,N,1,,,,,,,
2024,Branch Aqueduct Condition Assessment and Rehabilitation,"The Branch I and II Aqueducts, along with the Branch Interconnection Aqueduct are specialized pipes which are unique in size, materials, construction techniques and failure modes. The Branch I Aqueduct was installed between 1914 to 1918 and the Branch II and Interconnection Aqueducts were installed between 1959 and 1963. All of these require specialized inspection, testing, and maintenance to preserve the asset.",Water and Waste,Water,Program,10000000,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2024,,,N,7,,,,,,,
2023,Arlington Bridge Replacement (Tub Girder option),text,Public Works,Bridges - Regional,Project,339700000,0,3,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,14800000,2023,,,,,,,,,,,
2024,Flood Pumping Station Rehabilitation,"A 2007 report on the adequacy and operation of the City’s regional flood pumping stations identified station upgrades required in the near and long term. These upgrades improve overall station reliability during high river levels and rainfall events and may include changes to ventilation, electrical, mechanical, structural, or architectural components of the stations and associated structures, chambers, weirs, outfall pipes, and gates. A program to address high priority reliability items has been developed for implementation. All stations will be upgraded for remote monitoring which is critical during flood and rainfall events.",Water and Waste,Land Drainage & Flood Control,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,1500000,0,2028,,,N,1,,,,,,,
2023,Manta build and implement,text,Assessment & Taxation,Economic development,Project,10509000,0,5,Leadership & Good Governance,Upgrade,,,,0,10509000,2028,,,,,,,,,,,
2024,Asset Refurbishment and Replacement Program: Projects,"A risk and criticality review of the City's three sewage treatment plants has been undertaken to assess the condition of assets and to develop a refurbishment and replacement plan for the next 25 years. The improvements identified will address process reliability, mechanical, electrical, structural components, building envelope, and safety at all three locations including any related works required such as environmental studies/assessments or decommissioning of assets. Operational efficiency improvements will also be identified and implemented in a coordinated fashion with the enhanced maintenance program.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,6500000,0,2030,,,N,18,,,,,,,
2024,Comprehensive Integrated Waste Management Strategy (CIWMS) - 4R Winnipeg Depot - West,This project is to build a 4th 4R Winnipeg Depot in the west part of the city.,Water and Waste,Recycling & Waste Diversion,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,Saskatchewan North,St. James,POINT (-97.30935598 49.90214501),0,0,2032,,,N,2,,,,,,,
2024,CentrePort South (formerly Airport Area West) Water and Sewer Servicing,"This project includes the detailed design and construction of a water feeder main extension, a new sewer lift station and force main connection to the Inkster Interceptor, as well as land acquisition and administrative costs.",Water and Waste,Wastewater,Project,0,1,3,A Strong Economy,Growth,Saskatchewan North,St. James,POINT (-97.3003239167088 49.9242677773775),0,0,2025,Growth-enabling infrastructure,,N,14,,,,,,,
2023,Computer Aided Mass Appraisal (CAMA) System Detailed Analysis and Implementation,text,Assessment & Taxation,Economic development,Project,10760000,1,3,Leadership & Good Governance,Renew,,,,7929000,0,2024,,,,,,,,,,,
2023,Parkland Acquisition,text,Public Works,Parks - Regional,Program,8300000,0,,Good Health & Well-Being,Growth,,,,0,2300000,2030,,,,,,,,,,,
2024,Equipment Obsolescence,This capital program supports the ongoing replacement of emergency response equipment that is nearing the end of its useful operating life. The replacement timing is set to ensure continuity of front line emergency operation while maximizing the operating life of the equipment and ensuring value for money.,Fire Paramedic Service,Fire & Rescue Response,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,,,,3205000,0,2032,,,N,2,,,,,,,
2024,Computer Aided Mass Appraisal (CAMA) System Detailed Analysis and Implementation,Computer Aided Mass Appraisal System (CAMA) is an automated system used by the Assessment and Taxation Department for maintaining property data and valuing all real and business properties within the City of Winnipeg for the purpose of ensuring equitable taxation.,Assessment & Taxation,Assessment & Taxation,Project,0,1,3,Corporate Management and Support,Renew,,,,0,0,2032,,,N,1,,,,,,,
2024,Shoal Lake Aqueduct Intake Facility Rehabilitation,"The Shoal Lake Aqueduct, which has been in continuous service since 1919, is the sole water supply infrastructure for the City. The Shoal Lake Intake Structure is the transition headworks to receive water from Shoal Lake and to control the water flow into the aqueduct. Given the critical nature of the intake structure and its associated venturi structure to the safe operation of the aqueduct and the City's water supply, a condition assessment was undertaken and identified a number of rehabilitation and replacement requirements. This included the replacement and refurbishment of various mechanical components that date back to the original construction, the replacement of the maintenance/communication facility, as well as upgrades and improvements to the existing infrastructure. The recommended improvements will be completed in phases on a risk-based priority",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2026,,,N,11,,,,,,,
2024,Laboratory Information Management System,This program provides ongoing improvements and reduction of manual effort in the Laboratory Information Management System.,Innovation and Technology,Water,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,500000,0,2025,,,N,3,,,,,,,
2024,"Consolidate Core Stations (Centennial, Spence, Sargent Park)",Consolidation of Station 1 (65 Ellen St.) Station 5 (845 Sargent Ave.) and Station 36 (726 Furby t.) into a single fit-for-purpose station on existing city land,Fire Paramedic Service,Fire & Rescue Response,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,West Alexander,Point Douglas,POINT (-97.14658 49.89845),0,0,2027,,,N,8,,,,,,,
2024,Local Improvements - Ongoing Program,Local Improvement capital projects are those which are financed partly by a direct levy on the properties benefited. The program is governed by Local Improvements By-law No. 98/72 and is subject to advertising and subsequent approval by the majority of ratepayers involved. The types of expenditure generally falling within this category are: paving of local streets and lanes; sidewalk and boulevard construction; installation of new watermains and sewers; ornamental street lighting and lane lighting.,Assessment & Taxation,Assessment & Taxation,Program,10000000,1,,A City that Works for Residents through Improved Customer Service,Operations & Maintenance,,,,1000000,0,2024,,,N,2,,10000000,3712000,6288000,6000000,1712000,4288000
2024,Hoist Replacement at Fort Rouge Garage,"All 38 in-ground hoists found in the Fort Rouge Garage maintenance shop require replacement due to deterioration and age, inefficient and outdated designs, and to ensure compliance with new hoist codes and standards.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14263831 49.86523158),0,0,2033,,,N,3,,,,,,,
2024,Desktop Hardware Program,"This program will allow the city to continue with the desktop hardware evergreening program for the City, with a proposed shift from operating expenses (Opex) to capital expenses (Capex). By making this shift, the City can free up operating dollars for investing in Software as a Service (SaaS) IT subscriptions, which will help the City transition to more Cloud-centric systems and enjoy their benefits. This shift in funding and technology infrastructure will enable the City to prioritize its technology investments and enhance its overall technology infrastructure.",Innovation and Technology,Multiple Organizational Support Services,Program,0,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2030,,,N,1,,,,,,,
2023,McPhilips Academy,text,Fire Paramedic Service,Fire & Medical Response,Project,49955000,0,5,Good Health & Well-Being,Renew,Leila North,Old Kildonan,POINT (-97.14325453 49.96114652),0,49955000,2030,,,,,,,,,,,
2024,Police Headquarters Information System Upgrades,"This evergreening initiative is to upgrade and replace time expired information system equipment for the centralized server, networking, backup and security hardware. The hardware supports department-wide information systems to maintain current levels of response.",Winnipeg Police Service,Police Services,Project,0,1,4,Corporate Management and Support,Upgrade,South Portage,Fort Rouge - East Fort Garry,POINT (-97.14105021 49.89231132),0,0,2029,,,N,2,,,,,,,
2024,Bus Radio and Intelligent Transportation System (ITS) Replacement,"This project will see the replacement of existing bus radio hardware, equipment, and Intelligent Transportation Systems (ITS). The project will include replacement of radios on the entire Transit fleet currently approaching the end of useful life.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2029,,,N,8,,,,,,,
2023,Pan Am Pool - Facility Upgrades,text,Assets and Project Management,Recreation,Program,32770000,0,,Leadership & Good Governance,Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.17389347 49.85505337),0,5459000,2024,,,,,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,10000000,2028,,,N,20,,,,,,,
2024,SEWPCC Second Stage Dewatering,Design and construction for the neccesary upgrade to the SEWPCC to produce sludge at a percent of solids of 15% minimum.,Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2026,,,N,13,,,,,,,
2024,Transit Building Replacement and Renewal,"This multi-year capital program addresses the need for both larger and smaller scale projects within Transit's existing facilities, stops and stations. These projects are mainly required due to the age and condition of the assets.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),1000000,0,2028,,,N,6,,,,,,,
2024,Manta build and implement,The investment is to replace the Municipal Assessment and Taxation Application (MANTA) and the Revenue Collection System (RCS) Software. The replacement is required because MANTA and RCS are over 23 years old and at end of life.,Innovation and Technology,Fire & Injury Prevention,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,2789000,2025,,,N,1,,,,,,,
2024,Customer Care and Billing System (formerly Customer Billing and Work Management Systems Upgrades Program),"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Water,Program,0,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,1000000,0,2025,,,N,2,,,,,,,
2024,Community Incentive Grant Program,Funding to re-instate the Community Incentive Grant Program as per Council's Strategic Priorities Action Plan.,Community Services,Recreation,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Growth,,,,1385000,0,2033,,,N,22,,,,,,,
2023,Sidewalk Renewals on Local Streets - Various locations,text,Public Works,Active Transportation,Program,28650000,0,,Good Health & Well-Being,Renew,,,,0,2865000,2023,,,,,,,,,,,
2024,St Vital Bridge Rehabilitation,The St. Vital Bridge (Red River) connecting Osborne Street to Dunkirk Drive will require bridge deck rehabilitation including marginal widening to better accommodate pedestrian and cycling requirements. Preliminary design was completed in 2022 and detailed design in 2023. Construction is expected to be staged over a two year period. The rehabilitated structure will provide an additional 50 years of service life.,Public Works,Bridges - Regional,Project,0,1,1,A City that Works for Residents through Improved Customer Service,Renew,Riverview,Fort Rouge - East Fort Garry,POINT (-97.12658634 49.85575884),0,0,2026,,,N,2,,,,,,,
2024,SEWPCC Second Stage Dewatering,Design and construction for the neccesary upgrade to the SEWPCC to produce sludge at a percent of solids of 15% minimum.,Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2029,,,N,13,,,,,,,
2024,Vacuum Truck Decanting Facility,"Vacuum trucks are specifically designed trucks that periodically assist in cleaning underground sewers and catch basins. These vehicles then transport the solids/trash/debris material that has built up in sewers to Brady Road Resource Management Facility for disposal. In order to meet the liquid waste definition from the licence for Brady Road Resource Management Facility, Licence No 3081 R, the vacuum truck materials must meet specific criteria for disposal. This project includes a feasibility study (2023), interim solution (2024), and design and construction of a dedicated facility (2028) to dewater material from vacuum trucks prior to disposal.",Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2025,,,N,7,,,,,,,
2024,Neighbourhood Centres Capital Renewal Program,"The neighbourhood recreation and leisure centres capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 9 neighbourhood recreation and leisure centres owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects and other interior improvements. * Broadway Neighbourhood Centre, East End Cultural & Leisure Centre now operating as a community care site by Mamawi",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,2648000,2032,,,N,4,,,,,,,
2024,Water Meter Renewals,"The majority of the City's inventory of water meters are at end of life. Funding in previous years will be used to review current water meter technology, validate the best replacement technology, and develop a plan and class 3 estimate for implementation of a multi-year direct-read water meter replacement program.",Water and Waste,Water,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,,,,0,0,2030,,,N,5,,,,,,,
2024,Water Meter Renewals,"The majority of the City's inventory of water meters are at end of life. Funding in previous years will be used to review current water meter technology, validate the best replacement technology, and develop a plan and class 3 estimate for implementation of a multi-year direct-read water meter replacement program.",Water and Waste,Water,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,,,,10000000,0,2025,,,N,5,,,,,,,
2024,Asset Refurbishment and Replacement Program: Projects,"A risk and criticality review of the City's three sewage treatment plants has been undertaken to assess the condition of assets and to develop a refurbishment and replacement plan for the next 25 years. The improvements identified will address process reliability, mechanical, electrical, structural components, building envelope, and safety at all three locations including any related works required such as environmental studies/assessments or decommissioning of assets. Operational efficiency improvements will also be identified and implemented in a coordinated fashion with the enhanced maintenance program.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,6500000,0,2027,,,N,18,,,,,,,
2023,Feeder Main Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,10700000,1,,Environmental Resilience,Renew,,,,0,0,2031,,,,,,,,,,,
2024,Environmental Standards Laboratory Facility Plan,"Environmental Standards Division operates a Canadian Association for Laboratory Accreditation (CALA) accredited laboratory for testing, monitoring, and compliance reporting on behalf of the Water and Waste Department. To ensure the laboratory can continue to stay up-to-date with CALA accreditation standards, meet future regulatory monitoring and reporting requirements, and accommodate the increasing demands of the laboratory's internal clients, a new facility plan is required. The plan will also investigate options to bring additional testing in-house with further accreditation requirements.",Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,West Kildonan Industrial,Old Kildonan,POINT (-97.11006429 49.95251634),20000000,0,2032,,,N,8,,,,,,,
2023,Millennium Library Parkade Facility Renewal Program,text,Public Works,Parking,Program,50081000,0,,Leadership & Good Governance,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),0,0,2028,,,,,,,,,,,
2024,Arenas Capital Renewal Program,"The arena capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 14 indoor arenas owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include ice plant component replacements, interior improvements, heating, ventilation and electrical improvements, replacement of rink components, building envelope and structural improvements.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,26051000,2032,,,N,17,,,,,,,
2024,Tyndall Park Community Centre Addition,The proposed project involves the development of a full-sized gymnasium addition and related spaces to meet community program needs.,Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Tyndall Park,Point Douglas,POINT (-97.20351 49.93711),0,0,2025,,,N,7,,,,,,,
2024,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,"Funds budgeted are for the development and implementation of a CSO Master Plan as well as for sewer relief works associated with basement flooding and CSO mitigation including sewers, chambers, weirs, and other related works. Funds are also budgeted for monitoring and reporting programs as well as systems, pilot studies, land acquisition, and integration with other major sewer programs.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,30000000,0,2029,,,N,5,,,,,,,
2023,In Car Computing,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,7207000,1,4,Leadership & Good Governance,Upgrade,,,,0,0,2028,,,,,,,,,,,
2024,Chief Peguis Trail Extension West - Main to Brookside,"The proposed project consists of the construction of a four-lane divided roadway from Main Street to Brookside Boulevard (Route 90), including overpasses at Main Street and McPhillips Street. It will include four intersections and three pedestrian and cycling overpasses, and improvements to the Kildonan Settlers Bridge to accommodate intersection improvements at Main Street and multi-use pathways on both sides of the roadway.",Public Works,Roads - Regional,Project,0,0,3,A Strong Economy,Growth,Rivergrove,North Kildonan,POINT (-97.1020623 49.95228626),0,0,2025,Growth-enabling infrastructure,,N,8,,,,,,,
2024,New Southeast Winnipeg Regional Recreation & Aquatic Centre,"Capital investment is required for a new regional indoor aquatic and recreation centre to serve southeast Winnipeg. The facility will include multi-purpose program space, leisure pool and lap pool to service current demands and future growth in southeast Winnipeg.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Sage Creek,St. Vital,POINT (-97.04721476 49.82717292),0,0,2033,Growth-supportive infrastructure,,N,6,,,,,,,
2023,Transit Building Replacement / Refurbishment,text,Winnipeg Transit,Public Transit,Program,13436000,1,,City Building,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),1736000,0,2024,,,,,,,,,,,
2024,Regional and Local Street Renewal,"The Regional Street Renewal program includes the renewal and reconstruction of the City's regional streets, sidewalks and recreational walkways/paths, as well as incorporating pedestrian and cycling facilities on regional street renewal projects where identified in the Winnipeg Pedestrian and Cycling Strategies. The program also funds the condition rating of regional streets. The purpose of this program is to maintain the level of service, structural integrity, and rideability of the transportation infrastructure network.",Public Works,Roads - Regional,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,197664000,0,2032,,,Y,3,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,7000000,0,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2024,,,N,4,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2033,,,N,20,,,,,,,
